id,recording,code
20160901_P1a_4_S1,Recording002,20160901_P1a_4
20160901_P1a_4_S4,Recording005,20160901_P1a_4
20160916_P1a_5_S1,null,20160916_P1a_5
20160916_P1a_5_S2,null,20160916_P1a_5
20160916_P1a_5_S3,null,20160916_P1a_5
20160916_P1a_5_S4,null,20160916_P1a_5
20160916_P1a_6_S2,Recording007,20160916_P1a_6
20160916_P1a_6_S3,Recording008,20160916_P1a_6
20160920_P1a_7_S1,Recording010,20160920_P1a_7
20160920_P1a_7_S2,Recording011,20160920_P1a_7
20160920_P1a_7_S3,Recording012,20160920_P1a_7
20160920_P1a_7_S4,Recording013,20160920_P1a_7
20160921_P1a_8_S1,Recording014,20160921_P1a_8
20160921_P1a_8_S2,Recording015,20160921_P1a_8
20160921_P1a_8_S3,Recording016,20160921_P1a_8
20160921_P1a_8_S4,Recording017,20160921_P1a_8
20160921_P1a_9_S1,Recording018,20160921_P1a_9
20160921_P1a_9_S2,Recording019,20160921_P1a_9
20160921_P1a_9_S3,Recording020,20160921_P1a_9
20160921_P1a_9_S4,Recording021,20160921_P1a_9
20161104_P1a_10_S1,Recording022,20161104_P1a_10
20161104_P1a_10_S2,Recording023,20161104_P1a_10
20161104_P1a_10_S3,Recording024,20161104_P1a_10
20161104_P1a_10_S4,Recording025,20161104_P1a_10
20161104_P1a_11_S1,Recording026,20161104_P1a_11
20161104_P1a_11_S2,Recording027,20161104_P1a_11
20161104_P1a_11_S3,Recording028,20161104_P1a_11
20161104_P1a_11_S4,Recording029,20161104_P1a_11
20161104_P1a_12_S1,Recording030,20161104_P1a_12
20161104_P1a_12_S2,Recording031,20161104_P1a_12
20161104_P1a_12_S3,Recording032,20161104_P1a_12
20161104_P1a_12_S4,Recording033,20161104_P1a_12
20161104_P1a_13_S1,Recording034,20161104_P1a_13
20161104_P1a_13_S2,Recording035,20161104_P1a_13
20161104_P1a_13_S3,Recording036,20161104_P1a_13
20161104_P1a_13_S4,Recording037,20161104_P1a_13
20161111_P1a_14_S1,null,20161111_P1a_14
20161111_P1a_14_S2,null,20161111_P1a_14
20161111_P1a_14_S3,null,20161111_P1a_14
20161111_P1a_14_S4,null,20161111_P1a_14
20161117_P1a_15_S1,null,20161117_P1a_15
20161117_P1a_15_S2,Recording039,20161117_P1a_15
20161117_P1a_15_S3,Recording040,20161117_P1a_15
20161117_P1a_15_S4,null,20161117_P1a_15
20170217_P1a_16_S2,Recording043,20170217_P1a_16
20170217_P1a_16_S3,Recording044,20170217_P1a_16
20170828_P1a_17_S1,Recording046,20170828_P1a_17
20170828_P1a_17_S2,Recording047,20170828_P1a_17
20170828_P1a_17_S3,Recording048,20170828_P1a_17
20170828_P1a_17_S4,Recording049,20170828_P1a_17
20171027_P1a_18_S1,Recording050,20171027_P1a_18
20171027_P1a_18_S2,Recording051,20171027_P1a_18
20171027_P1a_18_S3,Recording052,20171027_P1a_18
20171027_P1a_18_S4,Recording053,20171027_P1a_18
20171117_P1a_19_S1,Recording054,20171117_P1a_19
20171117_P1a_19_S2,Recording055,20171117_P1a_19
20171117_P1a_19_S3,Recording056,20171117_P1a_19
20171117_P1a_19_S4,Recording057,20171117_P1a_19
20171117_P1a_20_S1,Recording058,20171117_P1a_20
20171117_P1a_20_S2,Recording059,20171117_P1a_20
20171117_P1a_20_S3,Recording060,20171117_P1a_20
20171117_P1a_20_S4,Recording061,20171117_P1a_20
20171208_P1a_21_S1,null,20171208_P1a_21
20171208_P1a_21_S2,null,20171208_P1a_21
20171208_P1a_21_S3,null,20171208_P1a_21
20171208_P1a_21_S4,null,20171208_P1a_21
20180123_P1a_22_S1,Recording070,20180123_P1a_22
20180123_P1a_22_S2,Recording071,20180123_P1a_22
20180123_P1a_22_S3,Recording072,20180123_P1a_22
20180123_P1a_22_S4,Recording073,20180123_P1a_22
20180126_P1a_23_S1,Recording062,20180126_P1a_23
20180126_P1a_23_S2,Recording063,20180126_P1a_23
20180126_P1a_23_S3,Recording064,20180126_P1a_23
20180126_P1a_23_S4,Recording065,20180126_P1a_23
20180126_P1a_24_S1,Recording066,20180126_P1a_24
20180126_P1a_24_S2,Recording067,20180126_P1a_24
20180126_P1a_24_S3,Recording068,20180126_P1a_24
20180126_P1a_24_S4,Recording069,20180126_P1a_24
20180223_P1a_25_S1,null,20180223_P1a_25
20180223_P1a_25_S2,null,20180223_P1a_25
20180223_P1a_25_S3,null,20180223_P1a_25
20180223_P1a_25_S4,null,20180223_P1a_25
20180306_P1a_28_S1,Recording074,20180306_P1a_28
20180306_P1a_28_S2,Recording075,20180306_P1a_28
20180306_P1a_28_S3,Recording076,20180306_P1a_28
20180306_P1a_28_S4,Recording077,20180306_P1a_28
20180309_P1a_29_S1,null,20180309_P1a_29
20180309_P1a_29_S2,Recording080,20180309_P1a_29
20180309_P1a_29_S3,Recording081,20180309_P1a_29
20180309_P1a_29_S4,null,20180309_P1a_29
